worker_id,zone_id,city,tenure_weeks,daily_active_hours,weekly_delivery_days,avg_weekly_earnings,earnings_std_dev,avg_daily_distance_km,avg_deliveries_per_day,vehicle_type,primary_shift,claim_count_90d,zone_disruption_days,zone_aqi_baseline,is_monsoon_season,is_flood_prone_zone,platform,is_part_time,risk_label
w_00025,DEL-12,Delhi,31,3.1,2,800.0,110.0,27.0,24,EV_Scooter,Evening_Late,4,34,230,0,0,Amazon,1,2
w_00026,BLR-03,Bangalore,7,6.0,6,2347.0,771.0,58.8,43,Petrol_Bike,Midday_Evening,0,20,91,0,1,Meesho,0,0
w_00027,MUM-07,Mumbai,10,7.1,6,2128.0,713.0,50.4,62,Cycle,Midday_Evening,1,25,129,0,1,Amazon,0,0
w_00028,DEL-12,Delhi,2,6.8,5,2405.0,406.0,74.5,31,Petrol_Bike,Midday_Evening,0,35,238,0,0,Amazon,0,1
w_00029,DEL-12,Delhi,3,10.5,7,3671.0,408.0,82.0,72,EV_Scooter,Midday_Evening,0,36,312,1,0,Flipkart,0,0
w_00030,VAD-04,Vadodara,18,8.1,6,3084.0,842.0,90.3,68,Petrol_Bike,Morning_Midday,1,9,104,0,1,Amazon,0,1
w_00031,DEL-12,Delhi,33,3.8,2,800.0,85.0,38.3,16,Petrol_Bike,Midday_Evening,1,37,232,1,0,Flipkart,1,0
w_00032,MUM-07,Mumbai,24,9.6,6,4195.0,1287.0,57.0,10,Petrol_Bike,Midday_Evening,1,33,128,0,1,Amazon,0,1
w_00033,VAD-04,Vadodara,23,7.6,5,2140.0,602.0,102.4,42,Petrol_Bike,Morning_Midday,2,14,137,0,1,Flipkart,0,1
w_00034,CHN-06,Chennai,11,2.5,2,800.0,116.0,22.1,16,EV_Scooter,Morning_Midday,0,27,105,1,1,Flipkart,1,0
w_00035,CHN-06,Chennai,8,13.1,6,5791.0,995.0,61.3,44,EV_Scooter,Evening_Late,0,22,117,0,1,Amazon,0,0
w_00036,BLR-03,Bangalore,16,8.9,5,2333.0,799.0,94.4,50,Petrol_Bike,Midday_Evening,0,21,74,0,1,Meesho,0,0
w_00037,MUM-07,Mumbai,27,6.6,7,2574.0,860.0,41.9,80,Petrol_Bike,Evening_Late,1,20,167,0,1,Amazon,0,0
w_00038,VAD-04,Vadodara,12,8.8,6,2782.0,629.0,71.1,54,Petrol_Bike,Evening_Late,0,23,129,1,1,Amazon,0,0
w_00039,DEL-12,Delhi,40,2.6,2,800.0,198.0,21.8,15,EV_Scooter,Evening_Late,0,40,286,1,0,Meesho,1,0
w_00040,DEL-12,Delhi,9,10.1,7,5421.0,536.0,52.6,44,EV_Scooter,Morning_Midday,0,34,269,1,0,Amazon,0,0
w_00041,MUM-07,Mumbai,4,10.8,6,4261.0,614.0,56.1,73,Petrol_Bike,Midday_Evening,0,21,150,0,1,Flipkart,0,0
w_00042,DEL-12,Delhi,12,4.6,3,839.0,191.0,35.8,20,Petrol_Bike,Midday_Evening,0,36,239,0,0,Amazon,1,0
w_00043,VAD-04,Vadodara,13,9.1,6,2940.0,771.0,58.2,42,Petrol_Bike,Evening_Late,1,9,103,0,1,Flipkart,0,1
w_00044,CHN-06,Chennai,11,5.8,5,1750.0,426.0,53.2,39,Petrol_Bike,Morning_Midday,0,23,138,0,1,Flipkart,0,0
w_00045,MUM-07,Mumbai,43,10.4,5,3177.0,445.0,37.9,37,Petrol_Bike,Midday_Evening,2,29,168,1,1,Flipkart,0,1
w_00046,DEL-12,Delhi,27,2.3,3,800.0,273.0,26.3,15,Petrol_Bike,Morning_Midday,0,32,232,1,0,Meesho,1,0
w_00047,MUM-07,Mumbai,2,9.8,6,4039.0,1247.0,52.2,38,Petrol_Bike,Morning_Midday,0,32,136,0,1,Amazon,0,0
w_00048,DEL-12,Delhi,56,8.2,5,2293.0,557.0,44.2,51,Petrol_Bike,Evening_Late,0,38,250,1,0,Meesho,0,0
w_00049,DEL-12,Delhi,1,2.0,4,800.0,87.0,40.8,24,EV_Scooter,Evening_Late,2,38,243,0,0,Amazon,1,2
w_00050,MUM-07,Mumbai,104,10.9,5,2862.0,955.0,47.7,38,Petrol_Bike,Midday_Evening,1,28,137,0,1,Amazon,0,1
w_00051,CHN-06,Chennai,9,8.8,5,2640.0,640.0,95.4,39,Petrol_Bike,Evening_Late,2,17,133,1,1,Amazon,0,1
w_00052,BLR-03,Bangalore,10,8.4,6,3955.0,667.0,98.0,40,Petrol_Bike,Midday_Evening,1,21,106,0,1,Flipkart,0,0
w_00053,CHN-06,Chennai,11,9.5,6,4531.0,779.0,82.2,54,EV_Scooter,Midday_Evening,2,21,98,1,1,Meesho,0,1
w_00054,BLR-03,Bangalore,17,8.5,6,2553.0,415.0,53.5,34,Petrol_Bike,Morning_Midday,0,13,107,1,1,Amazon,0,0
w_00055,DEL-12,Delhi,12,4.6,3,800.0,114.0,22.7,10,Petrol_Bike,Midday_Evening,0,40,252,0,0,Amazon,1,1
w_00056,CHN-06,Chennai,10,12.3,6,3141.0,650.0,72.5,46,EV_Scooter,Midday_Evening,2,30,115,0,1,Meesho,0,2
w_00057,VAD-04,Vadodara,45,6.7,7,2957.0,423.0,60.8,51,Petrol_Bike,Morning_Midday,1,14,149,0,1,Amazon,0,1
w_00058,MUM-07,Mumbai,21,10.5,6,3647.0,588.0,64.0,47,Petrol_Bike,Midday_Evening,1,36,79,1,1,Amazon,0,1
w_00059,VAD-04,Vadodara,4,3.1,3,800.0,149.0,11.7,16,Petrol_Bike,Evening_Late,0,14,134,1,1,Flipkart,1,0
w_00060,MUM-07,Mumbai,25,8.3,6,2776.0,895.0,35.1,62,Petrol_Bike,Evening_Late,0,27,92,0,1,Flipkart,0,0
w_00061,MUM-07,Mumbai,20,10.0,6,4444.0,1438.0,58.6,67,Petrol_Bike,Morning_Midday,0,26,160,0,1,Flipkart,0,0
w_00062,MUM-07,Mumbai,7,9.6,6,3967.0,677.0,59.0,49,Petrol_Bike,Midday_Evening,0,34,115,0,1,Amazon,0,0
w_00063,BLR-03,Bangalore,26,2.0,2,800.0,128.0,18.7,24,Petrol_Bike,Midday_Evening,0,15,65,1,1,Amazon,1,1
w_00064,MUM-07,Mumbai,10,7.8,6,2636.0,729.0,78.2,77,Petrol_Bike,Evening_Late,0,30,147,1,1,Meesho,0,1
w_00065,MUM-07,Mumbai,9,8.7,5,3790.0,914.0,108.0,46,Petrol_Bike,Evening_Late,0,26,139,0,1,Flipkart,0,0
w_00066,DEL-12,Delhi,9,11.0,6,4283.0,1073.0,56.0,43,Petrol_Bike,Evening_Late,1,34,236,0,0,Flipkart,0,1
w_00067,MUM-07,Mumbai,1,9.2,6,3419.0,1168.0,73.6,29,Petrol_Bike,Morning_Midday,3,32,99,0,1,Meesho,0,2
w_00068,BLR-03,Bangalore,7,10.3,7,4848.0,1543.0,41.0,60,Petrol_Bike,Midday_Evening,2,17,91,1,1,Meesho,0,1
w_00069,VAD-04,Vadodara,24,4.0,4,800.0,173.0,23.5,20,Petrol_Bike,Midday_Evening,0,13,85,0,1,Amazon,1,0
w_00070,CHN-06,Chennai,11,10.3,5,2992.0,680.0,88.4,40,EV_Scooter,Midday_Evening,0,26,79,0,1,Flipkart,0,0
w_00071,BLR-03,Bangalore,3,8.6,7,4319.0,1072.0,65.7,34,Petrol_Bike,Evening_Late,0,24,97,0,1,Flipkart,0,1
w_00072,MUM-07,Mumbai,31,9.0,6,3961.0,1323.0,96.1,30,Petrol_Bike,Midday_Evening,0,30,106,0,1,Amazon,0,0
w_00073,VAD-04,Vadodara,9,11.3,6,4751.0,922.0,47.9,72,Petrol_Bike,Morning_Midday,0,12,125,0,1,Amazon,0,0
w_00074,BLR-03,Bangalore,3,9.7,6,2517.0,664.0,64.5,52,Petrol_Bike,Evening_Late,0,16,132,1,1,Flipkart,0,0
w_00075,BLR-03,Bangalore,104,9.2,7,4065.0,962.0,32.7,26,Petrol_Bike,Midday_Evening,0,18,92,0,1,Flipkart,0,0
w_00076,BLR-03,Bangalore,4,10.1,5,2839.0,768.0,81.9,54,Cycle,Evening_Late,0,19,98,0,1,Flipkart,0,0
w_00077,BLR-03,Bangalore,29,7.6,7,3703.0,415.0,37.9,65,Petrol_Bike,Evening_Late,0,15,145,0,1,Amazon,0,0
w_00078,VAD-04,Vadodara,5,9.1,6,3627.0,860.0,62.3,57,Petrol_Bike,Morning_Midday,4,16,86,1,1,Flipkart,0,2
w_00079,MUM-07,Mumbai,13,3.0,2,800.0,208.0,38.5,18,Petrol_Bike,Morning_Midday,0,28,159,0,1,Amazon,1,0
w_00080,MUM-07,Mumbai,4,9.4,6,3454.0,1112.0,71.7,58,Petrol_Bike,Midday_Evening,2,22,156,1,1,Amazon,0,1
w_00081,BLR-03,Bangalore,3,2.0,3,800.0,242.0,21.3,15,Cycle,Evening_Late,0,15,116,1,1,Amazon,1,0
w_00082,DEL-12,Delhi,20,9.0,5,3573.0,748.0,16.6,48,EV_Scooter,Midday_Evening,0,33,292,1,0,Flipkart,0,0
w_00083,MUM-07,Mumbai,18,9.3,6,4488.0,1348.0,38.2,72,Petrol_Bike,Midday_Evening,0,28,137,0,1,Flipkart,0,1
w_00084,VAD-04,Vadodara,38,11.7,6,5258.0,1298.0,69.4,62,Petrol_Bike,Midday_Evening,1,21,101,1,1,Amazon,0,1
w_00085,MUM-07,Mumbai,11,6.2,5,1467.0,369.0,76.9,54,Petrol_Bike,Midday_Evening,0,28,157,1,1,Amazon,0,1
w_00086,MUM-07,Mumbai,104,10.5,6,3805.0,705.0,58.8,37,Petrol_Bike,Midday_Evening,1,25,158,1,1,Flipkart,0,1
w_00087,BLR-03,Bangalore,15,9.4,6,4410.0,1002.0,35.8,65,Cycle,Evening_Late,0,18,122,0,1,Flipkart,0,0
w_00088,DEL-12,Delhi,21,9.4,5,3036.0,324.0,53.8,67,EV_Scooter,Evening_Late,1,34,261,0,0,Flipkart,0,1
w_00089,BLR-03,Bangalore,3,8.9,6,3097.0,697.0,54.8,82,Petrol_Bike,Morning_Midday,0,19,78,0,1,Amazon,0,0
w_00090,DEL-12,Delhi,6,10.3,6,4113.0,781.0,83.3,49,Petrol_Bike,Midday_Evening,0,37,264,0,0,Amazon,0,0
w_00091,MUM-07,Mumbai,20,10.9,6,3843.0,632.0,77.6,56,Petrol_Bike,Evening_Late,2,32,153,1,1,Amazon,0,1
w_00092,BLR-03,Bangalore,11,6.7,7,3121.0,726.0,66.0,55,EV_Scooter,Morning_Midday,0,18,120,0,1,Flipkart,0,1
w_00093,BLR-03,Bangalore,14,2.7,2,800.0,159.0,27.3,27,Petrol_Bike,Evening_Late,0,24,85,0,1,Flipkart,1,0
w_00094,DEL-12,Delhi,5,9.7,5,2872.0,573.0,67.5,62,EV_Scooter,Midday_Evening,0,38,267,1,0,Amazon,0,0
w_00095,BLR-03,Bangalore,13,9.7,6,3901.0,695.0,81.6,57,Petrol_Bike,Morning_Midday,2,16,63,1,1,Flipkart,0,1
w_00096,DEL-12,Delhi,13,3.9,3,800.0,165.0,29.0,19,Petrol_Bike,Midday_Evening,1,43,284,1,0,Flipkart,1,0
w_00097,DEL-12,Delhi,3,8.6,5,2579.0,400.0,67.6,37,Petrol_Bike,Morning_Midday,0,36,241,1,0,Amazon,0,0
w_00098,DEL-12,Delhi,23,11.5,6,4693.0,1012.0,59.3,32,Petrol_Bike,Midday_Evening,0,32,279,0,0,Meesho,0,0
w_00099,VAD-04,Vadodara,2,3.1,2,800.0,212.0,27.1,14,Cycle,Evening_Late,0,20,87,1,1,Meesho,1,0
w_00100,MUM-07,Mumbai,14,10.1,7,4626.0,935.0,69.0,39,Petrol_Bike,Morning_Midday,0,36,155,0,1,Flipkart,0,0
w_00101,VAD-04,Vadodara,71,8.8,6,2861.0,490.0,52.7,57,EV_Scooter,Morning_Midday,0,14,123,0,1,Amazon,0,0
w_00102,DEL-12,Delhi,24,12.5,6,4164.0,849.0,34.3,48,Petrol_Bike,Midday_Evening,0,33,241,1,0,Amazon,0,0
w_00103,MUM-07,Mumbai,23,9.3,7,5073.0,1218.0,85.8,54,Petrol_Bike,Midday_Evening,2,28,147,0,1,Amazon,0,1
w_00104,DEL-12,Delhi,4,4.2,4,1054.0,199.0,19.1,25,Petrol_Bike,Morning_Midday,0,37,246,0,0,Amazon,1,0
w_00105,CHN-06,Chennai,71,9.3,6,3248.0,367.0,64.7,57,Petrol_Bike,Midday_Evening,1,27,123,0,1,Meesho,0,1
w_00106,MUM-07,Mumbai,48,10.0,6,5085.0,1479.0,90.4,56,Petrol_Bike,Midday_Evening,1,30,124,0,1,Amazon,0,1
w_00107,DEL-12,Delhi,5,10.0,6,4690.0,779.0,70.6,42,Petrol_Bike,Midday_Evening,1,35,217,0,0,Amazon,0,1
w_00108,BLR-03,Bangalore,7,10.9,5,4129.0,835.0,70.4,57,EV_Scooter,Morning_Midday,2,23,71,1,1,Meesho,0,1
w_00109,MUM-07,Mumbai,42,10.6,7,4829.0,1506.0,69.3,49,Petrol_Bike,Midday_Evening,2,27,120,1,1,Meesho,0,1
w_00110,VAD-04,Vadodara,73,4.6,4,1154.0,321.0,45.0,16,Petrol_Bike,Evening_Late,0,18,149,1,1,Meesho,1,0
w_00111,MUM-07,Mumbai,3,3.3,4,829.0,149.0,27.4,19,Petrol_Bike,Evening_Late,0,27,152,0,1,Amazon,1,0
w_00112,MUM-07,Mumbai,4,8.0,6,2967.0,549.0,69.6,68,EV_Scooter,Evening_Late,4,29,170,1,1,Amazon,0,2
w_00113,CHN-06,Chennai,10,7.7,6,3208.0,550.0,43.0,36,EV_Scooter,Morning_Midday,0,22,146,1,1,Flipkart,0,0
w_00114,BLR-03,Bangalore,1,9.1,7,4688.0,634.0,52.9,55,Cycle,Midday_Evening,4,18,82,0,1,Flipkart,0,2
w_00115,DEL-12,Delhi,12,10.1,6,2359.0,428.0,23.2,48,Petrol_Bike,Evening_Late,0,34,256,0,0,Flipkart,0,0
w_00116,BLR-03,Bangalore,39,8.0,6,2678.0,428.0,42.5,50,EV_Scooter,Morning_Midday,1,23,85,0,1,Amazon,0,0
w_00117,BLR-03,Bangalore,2,9.4,6,3316.0,426.0,72.5,47,Petrol_Bike,Evening_Late,2,16,79,0,1,Flipkart,0,2
w_00118,MUM-07,Mumbai,13,7.4,7,2490.0,280.0,71.7,54,EV_Scooter,Morning_Midday,1,26,84,1,1,Amazon,0,1
w_00119,BLR-03,Bangalore,6,9.1,6,3661.0,839.0,73.9,34,Petrol_Bike,Evening_Late,0,26,95,0,1,Amazon,0,0
w_00120,DEL-12,Delhi,62,11.0,5,2922.0,950.0,10.0,58,Petrol_Bike,Morning_Midday,1,38,228,0,0,Amazon,0,0
w_00121,BLR-03,Bangalore,6,4.0,3,922.0,246.0,30.1,21,Petrol_Bike,Midday_Evening,0,9,95,0,1,Flipkart,1,0
w_00122,BLR-03,Bangalore,55,7.7,6,2934.0,751.0,81.2,52,Petrol_Bike,Midday_Evening,1,16,147,0,1,Meesho,0,0
w_00123,MUM-07,Mumbai,6,3.8,4,1004.0,197.0,25.3,20,Petrol_Bike,Midday_Evening,0,21,118,0,1,Flipkart,1,0
w_00124,MUM-07,Mumbai,26,8.3,6,3631.0,781.0,58.4,53,Petrol_Bike,Morning_Midday,0,25,134,1,1,Amazon,0,0
w_00125,MUM-07,Mumbai,15,2.6,2,800.0,117.0,29.7,16,Petrol_Bike,Midday_Evening,1,16,152,1,1,Meesho,1,1
w_00126,DEL-12,Delhi,10,9.8,5,3238.0,889.0,39.9,31,EV_Scooter,Midday_Evening,0,35,267,0,0,Amazon,0,0
w_00127,BLR-03,Bangalore,5,11.0,6,4045.0,938.0,79.7,41,EV_Scooter,Midday_Evening,0,14,102,0,1,Flipkart,0,0
w_00128,BLR-03,Bangalore,16,7.5,6,2833.0,325.0,55.1,44,Petrol_Bike,Midday_Evening,1,18,86,1,1,Flipkart,0,1
w_00129,VAD-04,Vadodara,7,10.2,5,2955.0,437.0,43.2,24,Petrol_Bike,Evening_Late,2,8,110,1,1,Amazon,0,1
w_00130,DEL-12,Delhi,6,8.0,7,4157.0,1035.0,59.2,41,Petrol_Bike,Evening_Late,0,35,236,1,0,Amazon,0,1
w_00131,DEL-12,Delhi,53,9.2,6,3867.0,1060.0,47.4,66,EV_Scooter,Midday_Evening,2,34,281,1,0,Flipkart,0,1
w_00132,MUM-07,Mumbai,21,8.4,5,3590.0,667.0,36.4,34,EV_Scooter,Morning_Midday,3,34,87,0,1,Flipkart,0,2
w_00133,MUM-07,Mumbai,23,11.1,7,5455.0,1774.0,55.6,61,Petrol_Bike,Midday_Evening,0,33,154,1,1,Flipkart,0,1
w_00134,MUM-07,Mumbai,8,10.0,6,4000.0,623.0,65.6,41,EV_Scooter,Morning_Midday,3,31,95,1,1,Meesho,0,2
w_00135,CHN-06,Chennai,10,9.7,6,3943.0,535.0,75.9,41,EV_Scooter,Midday_Evening,0,21,129,1,1,Amazon,0,0
w_00136,MUM-07,Mumbai,9,11.5,5,3339.0,1129.0,69.3,47,Petrol_Bike,Morning_Midday,2,35,122,0,1,Flipkart,0,1
w_00137,DEL-12,Delhi,17,9.5,6,4390.0,628.0,108.0,54,Petrol_Bike,Evening_Late,4,29,230,1,0,Meesho,0,2
w_00138,BLR-03,Bangalore,23,11.0,7,4882.0,1387.0,65.4,43,Petrol_Bike,Midday_Evening,0,13,109,0,1,Flipkart,0,0
w_00139,MUM-07,Mumbai,11,12.2,5,2698.0,556.0,91.6,42,Petrol_Bike,Midday_Evening,0,28,153,0,1,Meesho,0,0
w_00140,CHN-06,Chennai,5,9.7,6,2983.0,428.0,64.8,70,Petrol_Bike,Midday_Evening,2,31,95,0,1,Meesho,0,1
w_00141,CHN-06,Chennai,26,9.9,6,3759.0,745.0,73.9,51,Petrol_Bike,Morning_Midday,1,22,123,0,1,Flipkart,0,0
w_00142,MUM-07,Mumbai,12,4.2,2,800.0,275.0,20.5,20,Petrol_Bike,Midday_Evening,0,28,73,1,1,Flipkart,1,0
w_00143,DEL-12,Delhi,2,3.2,2,800.0,124.0,25.7,24,Petrol_Bike,Midday_Evening,0,30,227,0,0,Amazon,1,0
w_00144,MUM-07,Mumbai,1,9.7,5,3535.0,1222.0,71.5,71,Petrol_Bike,Evening_Late,0,31,162,1,1,Amazon,0,0
w_00145,MUM-07,Mumbai,16,8.5,6,3749.0,1197.0,80.2,63,Cycle,Morning_Midday,2,31,125,1,1,Amazon,0,1
w_00146,VAD-04,Vadodara,5,10.8,5,3849.0,838.0,27.1,52,Petrol_Bike,Evening_Late,1,17,69,1,1,Meesho,0,1
w_00147,DEL-12,Delhi,18,4.0,3,874.0,175.0,23.8,22,EV_Scooter,Midday_Evening,0,33,243,0,0,Amazon,1,0
w_00148,DEL-12,Delhi,5,10.8,5,3858.0,412.0,40.4,49,EV_Scooter,Midday_Evening,0,33,237,1,0,Meesho,0,0
w_00149,VAD-04,Vadodara,13,10.5,6,4567.0,1154.0,18.7,51,EV_Scooter,Midday_Evening,0,9,111,1,1,Amazon,0,0
w_00150,MUM-07,Mumbai,8,3.2,3,800.0,129.0,20.3,16,Petrol_Bike,Midday_Evening,0,28,121,1,1,Flipkart,1,0
w_00151,CHN-06,Chennai,70,3.4,3,800.0,137.0,35.4,15,EV_Scooter,Midday_Evening,0,18,109,0,1,Amazon,1,0
w_00152,MUM-07,Mumbai,31,2.4,2,800.0,263.0,26.6,10,Petrol_Bike,Midday_Evening,0,24,129,0,1,Amazon,1,0
w_00153,MUM-07,Mumbai,46,3.5,3,800.0,110.0,17.6,15,Petrol_Bike,Midday_Evening,0,27,163,0,1,Amazon,1,1
w_00154,DEL-12,Delhi,12,3.0,3,800.0,217.0,24.5,14,EV_Scooter,Midday_Evening,0,34,270,0,0,Meesho,1,0
w_00155,CHN-06,Chennai,27,2.4,3,800.0,179.0,10.0,15,Petrol_Bike,Morning_Midday,0,20,116,0,1,Amazon,1,1
w_00156,MUM-07,Mumbai,13,8.2,5,2469.0,608.0,48.4,58,Petrol_Bike,Midday_Evening,1,29,159,0,1,Amazon,0,0
w_00157,DEL-12,Delhi,52,2.0,3,800.0,262.0,18.1,16,Petrol_Bike,Midday_Evening,0,35,251,0,0,Meesho,1,1
w_00158,BLR-03,Bangalore,11,11.5,7,4902.0,578.0,77.6,10,Petrol_Bike,Evening_Late,0,17,64,0,1,Flipkart,0,0
w_00159,MUM-07,Mumbai,3,9.9,6,2565.0,668.0,21.0,60,Petrol_Bike,Midday_Evening,2,28,160,1,1,Amazon,0,1
w_00160,BLR-03,Bangalore,1,8.4,5,2353.0,499.0,41.2,66,Petrol_Bike,Midday_Evening,2,15,98,1,1,Amazon,0,2
w_00161,MUM-07,Mumbai,64,7.6,6,2693.0,351.0,58.3,46,Petrol_Bike,Midday_Evening,0,28,133,1,1,Amazon,0,1
w_00162,DEL-12,Delhi,19,13.2,6,4831.0,1065.0,30.0,33,Petrol_Bike,Morning_Midday,0,35,245,0,0,Flipkart,0,1
w_00163,DEL-12,Delhi,20,2.9,3,800.0,85.0,10.0,20,EV_Scooter,Midday_Evening,1,29,245,0,0,Amazon,1,1
w_00164,DEL-12,Delhi,54,10.0,6,3467.0,587.0,86.0,64,EV_Scooter,Morning_Midday,0,38,281,0,0,Amazon,0,1
w_00165,VAD-04,Vadodara,2,3.5,2,800.0,81.0,22.5,14,Petrol_Bike,Morning_Midday,1,11,139,0,1,Amazon,1,1
w_00166,BLR-03,Bangalore,8,11.1,7,4481.0,1430.0,59.4,57,Petrol_Bike,Midday_Evening,3,18,114,0,1,Amazon,0,2
w_00167,MUM-07,Mumbai,9,7.7,6,2832.0,534.0,40.3,43,EV_Scooter,Midday_Evening,1,32,149,1,1,Flipkart,0,1
w_00168,MUM-07,Mumbai,25,3.4,2,800.0,271.0,29.7,11,Petrol_Bike,Evening_Late,0,31,144,1,1,Amazon,1,0
w_00169,VAD-04,Vadodara,6,9.3,6,4135.0,842.0,32.8,70,Petrol_Bike,Midday_Evening,1,14,118,0,1,Amazon,0,1
w_00170,DEL-12,Delhi,3,4.8,3,973.0,323.0,23.4,21,Petrol_Bike,Evening_Late,0,34,256,0,0,Flipkart,1,0
w_00171,DEL-12,Delhi,3,9.0,6,4076.0,960.0,24.5,40,Petrol_Bike,Evening_Late,1,38,290,1,0,Flipkart,0,0
w_00172,VAD-04,Vadodara,38,4.1,2,800.0,82.0,18.3,18,Petrol_Bike,Evening_Late,0,16,106,0,1,Amazon,1,0
w_00173,DEL-12,Delhi,5,8.9,5,3394.0,811.0,42.0,79,Petrol_Bike,Midday_Evening,1,33,269,1,0,Amazon,0,1
w_00174,MUM-07,Mumbai,7,10.6,5,3651.0,711.0,39.5,69,Petrol_Bike,Midday_Evening,1,25,110,1,1,Amazon,0,1
w_00175,DEL-12,Delhi,22,3.5,3,800.0,263.0,21.9,23,Petrol_Bike,Evening_Late,0,27,244,1,0,Amazon,1,0
w_00176,MUM-07,Mumbai,6,8.4,6,2957.0,948.0,68.2,48,Petrol_Bike,Midday_Evening,1,28,125,0,1,Flipkart,0,1
w_00177,DEL-12,Delhi,2,2.8,2,800.0,209.0,21.8,20,Petrol_Bike,Morning_Midday,2,35,240,0,0,Amazon,1,1
w_00178,MUM-07,Mumbai,2,3.4,3,800.0,129.0,23.5,16,EV_Scooter,Midday_Evening,1,32,149,1,1,Flipkart,1,0
w_00179,CHN-06,Chennai,11,8.6,5,2362.0,770.0,43.5,61,Petrol_Bike,Midday_Evening,0,23,72,0,1,Flipkart,0,1
w_00180,MUM-07,Mumbai,20,7.6,5,3248.0,448.0,62.5,57,Petrol_Bike,Morning_Midday,0,33,132,0,1,Flipkart,0,0
w_00181,MUM-07,Mumbai,9,7.7,6,3421.0,399.0,60.4,60,Petrol_Bike,Midday_Evening,2,26,133,1,1,Amazon,0,1
