worker_id,zone_id,city,tenure_weeks,daily_active_hours,weekly_delivery_days,avg_weekly_earnings,earnings_std_dev,claim_count_90d,zone_disruption_days,zone_aqi_baseline,is_monsoon_season,is_flood_prone_zone,platform,is_part_time,risk_label
w_0025,DEL-12,Delhi,12,9.8,4,2792.0,404.0,1,21,239,0,0,Meesho,0,1
w_0026,BLR-03,Bangalore,30,5.9,5,2001.0,561.0,0,11,101,0,0,Flipkart,0,0
w_0027,VAD-04,Vadodara,22,8.1,5,2515.0,362.0,1,17,137,0,1,Meesho,0,1
w_0028,DEL-12,Delhi,23,5.7,5,3012.0,181.0,2,24,260,0,0,Flipkart,0,1
w_0029,DEL-12,Delhi,47,8.0,5,3386.0,816.0,0,24,235,1,0,Flipkart,0,0
w_0030,VAD-04,Vadodara,6,5.2,5,4355.0,1267.0,0,19,129,0,1,Flipkart,0,0
w_0031,DEL-12,Delhi,104,7.5,4,4836.0,447.0,0,23,227,0,0,Amazon,0,0
w_0032,VAD-04,Vadodara,17,7.8,4,3736.0,1095.0,1,20,140,1,1,Meesho,0,1
w_0033,VAD-04,Vadodara,89,5.3,5,2524.0,516.0,0,20,162,0,1,Meesho,0,0
w_0034,CHN-06,Chennai,14,8.0,5,3094.0,810.0,1,10,100,0,0,Meesho,0,1
w_0035,CHN-06,Chennai,27,7.3,3,3265.0,549.0,3,10,133,1,0,Amazon,0,1
w_0036,BLR-03,Bangalore,17,5.8,3,3158.0,649.0,1,7,102,0,0,Flipkart,0,1
w_0037,MUM-07,Mumbai,33,9.8,6,2423.0,631.0,3,35,180,0,1,Amazon,0,1
w_0038,VAD-04,Vadodara,6,7.3,4,4527.0,1339.0,1,18,132,0,1,Amazon,0,1
w_0039,DEL-12,Delhi,15,10.3,6,2266.0,218.0,1,25,240,0,0,Amazon,0,1
w_0040,MUM-07,Mumbai,2,8.4,5,3075.0,845.0,0,30,161,1,1,Flipkart,0,0
w_0041,VAD-04,Vadodara,27,7.2,4,3609.0,782.0,2,17,145,0,1,Amazon,0,2
w_0042,DEL-12,Delhi,98,6.1,6,3637.0,1043.0,1,25,241,1,0,Amazon,0,1
w_0043,VAD-04,Vadodara,1,5.7,6,3175.0,411.0,1,15,141,0,1,Amazon,0,1
w_0044,CHN-06,Chennai,32,8.4,5,3745.0,414.0,1,13,119,0,0,Flipkart,0,1
w_0045,MUM-07,Mumbai,44,8.7,3,2649.0,375.0,1,35,150,0,1,Amazon,0,1
w_0046,DEL-12,Delhi,7,6.3,5,3420.0,927.0,0,22,231,0,0,Amazon,0,0
w_0047,MUM-07,Mumbai,9,5.6,4,2461.0,406.0,1,31,158,0,1,Amazon,0,1
w_0048,DEL-12,Delhi,6,9.4,6,2796.0,805.0,0,25,235,1,0,Amazon,0,0
w_0049,DEL-12,Delhi,10,9.5,5,4280.0,473.0,0,24,236,0,0,Flipkart,0,0
w_0050,VAD-04,Vadodara,3,6.3,5,3315.0,349.0,1,15,126,0,1,Flipkart,0,0
w_0051,CHN-06,Chennai,13,7.6,6,3351.0,736.0,0,13,102,1,0,Amazon,0,0
w_0052,BLR-03,Bangalore,13,9.0,5,3107.0,382.0,2,5,97,1,0,Amazon,0,1
w_0053,CHN-06,Chennai,49,5.8,6,2961.0,244.0,0,11,112,1,0,Amazon,0,0
w_0054,CHN-06,Chennai,48,6.2,5,3518.0,507.0,0,10,123,0,0,Meesho,0,0
w_0055,DEL-12,Delhi,47,9.6,5,5291.0,617.0,0,23,257,1,0,Amazon,0,0
w_0056,CHN-06,Chennai,25,6.2,5,2369.0,363.0,1,9,127,0,0,Amazon,0,1
w_0057,VAD-04,Vadodara,11,8.1,6,2716.0,262.0,1,16,145,1,1,Meesho,0,1
w_0058,VAD-04,Vadodara,15,8.2,5,2745.0,794.0,0,18,144,0,1,Amazon,0,1
w_0059,VAD-04,Vadodara,11,5.6,5,1720.0,431.0,1,17,130,1,1,Flipkart,0,2
w_0060,MUM-07,Mumbai,26,10.0,5,3403.0,886.0,0,31,147,0,1,Amazon,0,1
w_0061,MUM-07,Mumbai,83,4.9,6,3325.0,414.0,0,33,180,0,1,Meesho,0,1
w_0062,MUM-07,Mumbai,10,8.6,5,2994.0,791.0,0,29,151,1,1,Amazon,0,0
w_0063,BLR-03,Bangalore,18,7.1,5,4020.0,795.0,0,8,99,0,0,Amazon,0,0
w_0064,MUM-07,Mumbai,31,8.2,4,3135.0,201.0,2,34,158,0,1,Flipkart,0,1
w_0065,MUM-07,Mumbai,55,7.5,5,3363.0,297.0,2,33,173,1,1,Amazon,0,2
w_0066,DEL-12,Delhi,8,5.7,6,3630.0,586.0,3,24,240,0,0,Flipkart,0,1
w_0067,VAD-04,Vadodara,9,7.4,3,3210.0,477.0,0,19,155,1,1,Amazon,0,0
w_0068,BLR-03,Bangalore,64,9.0,4,4859.0,1209.0,0,5,87,1,0,Amazon,0,0
w_0069,VAD-04,Vadodara,2,7.5,6,3181.0,854.0,2,18,128,1,1,Flipkart,0,1
w_0070,CHN-06,Chennai,27,7.0,6,4020.0,1070.0,0,9,122,0,0,Flipkart,0,0
w_0071,BLR-03,Bangalore,59,4.0,5,3441.0,495.0,1,7,104,1,0,Meesho,0,1
w_0072,VAD-04,Vadodara,76,6.2,3,3478.0,727.0,0,20,136,1,1,Amazon,0,0
w_0073,VAD-04,Vadodara,1,6.5,5,4197.0,731.0,0,16,153,0,1,Flipkart,0,0
w_0074,BLR-03,Bangalore,13,9.7,4,3251.0,885.0,1,11,105,1,0,Flipkart,0,1
w_0075,BLR-03,Bangalore,8,7.2,5,3457.0,941.0,2,7,86,1,0,Flipkart,0,1
w_0076,BLR-03,Bangalore,25,9.0,5,3699.0,235.0,0,7,84,0,0,Flipkart,0,0
w_0077,BLR-03,Bangalore,30,6.4,5,3027.0,584.0,1,10,93,0,0,Flipkart,0,1
w_0078,VAD-04,Vadodara,104,3.9,4,3895.0,685.0,0,19,147,0,1,Amazon,1,0
w_0079,MUM-07,Mumbai,21,10.0,5,4707.0,1142.0,2,31,179,1,1,Amazon,0,1
w_0080,VAD-04,Vadodara,24,6.5,5,2816.0,279.0,0,21,138,0,1,Amazon,0,0
w_0081,CHN-06,Chennai,16,9.9,5,2987.0,668.0,0,12,120,0,0,Meesho,0,0
w_0082,DEL-12,Delhi,4,7.6,6,2666.0,626.0,1,21,232,0,0,Amazon,0,1
w_0083,MUM-07,Mumbai,10,10.8,4,4947.0,280.0,1,32,146,0,1,Meesho,0,1
w_0084,VAD-04,Vadodara,8,12.0,3,3983.0,629.0,0,15,152,1,1,Amazon,0,0
w_0085,MUM-07,Mumbai,48,8.9,5,2470.0,728.0,1,33,176,0,1,Flipkart,0,1
w_0086,MUM-07,Mumbai,23,5.3,6,2303.0,288.0,3,32,173,0,1,Amazon,0,1
w_0087,BLR-03,Bangalore,10,9.1,6,4004.0,1086.0,0,7,80,0,0,Amazon,0,0
w_0088,DEL-12,Delhi,20,8.8,5,5366.0,1056.0,2,23,232,1,0,Meesho,0,1
w_0089,CHN-06,Chennai,7,5.5,4,3451.0,428.0,0,15,99,0,0,Flipkart,0,0
w_0090,DEL-12,Delhi,6,6.7,5,2316.0,600.0,0,23,255,0,0,Amazon,0,0
w_0091,VAD-04,Vadodara,58,7.1,5,2188.0,651.0,0,18,158,1,1,Meesho,0,0
w_0092,BLR-03,Bangalore,86,8.7,4,3214.0,757.0,2,8,97,1,0,Flipkart,0,2
w_0093,BLR-03,Bangalore,2,6.2,6,2380.0,155.0,0,6,106,1,0,Flipkart,0,0
w_0094,DEL-12,Delhi,43,5.9,5,3297.0,208.0,3,20,241,0,0,Flipkart,0,2
w_0095,BLR-03,Bangalore,18,5.7,6,3913.0,677.0,0,9,87,1,0,Amazon,0,0
w_0096,DEL-12,Delhi,14,4.3,6,3712.0,191.0,2,24,265,1,0,Amazon,0,2
w_0097,DEL-12,Delhi,35,9.3,5,3853.0,844.0,1,24,246,1,0,Amazon,0,1
w_0098,MUM-07,Mumbai,9,8.2,3,3701.0,200.0,1,30,150,1,1,Amazon,0,0
w_0099,VAD-04,Vadodara,1,9.6,6,4082.0,1197.0,1,17,155,0,1,Flipkart,0,1
w_0100,VAD-04,Vadodara,7,6.6,5,3298.0,891.0,1,15,152,1,1,Amazon,0,1
w_0101,VAD-04,Vadodara,6,6.5,5,3581.0,909.0,1,19,133,1,1,Amazon,0,1
w_0102,DEL-12,Delhi,1,8.7,3,4541.0,1149.0,1,19,236,0,0,Flipkart,0,2
w_0103,MUM-07,Mumbai,11,9.8,5,4134.0,1069.0,0,30,160,1,1,Amazon,0,0
w_0104,DEL-12,Delhi,19,10.0,5,2491.0,395.0,1,22,249,1,0,Amazon,0,1
w_0105,CHN-06,Chennai,39,5.8,5,2856.0,708.0,0,15,119,1,0,Amazon,0,0
w_0106,MUM-07,Mumbai,11,9.9,6,2480.0,352.0,0,33,171,1,1,Flipkart,0,0
w_0107,MUM-07,Mumbai,6,11.0,6,3339.0,875.0,1,30,168,1,1,Flipkart,0,0
w_0108,BLR-03,Bangalore,7,8.8,5,1500.0,307.0,0,7,89,0,0,Meesho,0,1
w_0109,MUM-07,Mumbai,66,10.3,6,3972.0,554.0,1,35,162,0,1,Meesho,0,1
w_0110,VAD-04,Vadodara,6,9.0,5,2743.0,648.0,0,19,137,0,1,Amazon,0,0
w_0111,MUM-07,Mumbai,63,5.8,5,2071.0,229.0,1,33,148,0,1,Flipkart,0,1
w_0112,VAD-04,Vadodara,17,9.9,5,5221.0,1520.0,0,20,133,1,1,Amazon,0,0
w_0113,CHN-06,Chennai,81,8.8,6,2923.0,632.0,0,12,130,0,0,Flipkart,0,0
w_0114,BLR-03,Bangalore,15,6.0,5,2118.0,318.0,1,9,99,0,0,Amazon,0,1
w_0115,DEL-12,Delhi,5,6.9,6,3039.0,570.0,0,22,242,0,0,Amazon,0,0
w_0116,CHN-06,Chennai,23,8.8,5,4759.0,1115.0,0,10,130,0,0,Amazon,0,0
w_0117,BLR-03,Bangalore,26,12.0,6,1500.0,374.0,5,7,104,1,0,Flipkart,0,2
w_0118,VAD-04,Vadodara,30,11.6,5,4295.0,1262.0,0,21,140,0,1,Amazon,0,0
w_0119,CHN-06,Chennai,15,4.0,6,2083.0,213.0,1,15,111,1,0,Amazon,0,1
w_0120,DEL-12,Delhi,1,8.0,4,3875.0,682.0,0,21,249,1,0,Amazon,0,0
w_0121,BLR-03,Bangalore,29,11.0,5,2604.0,190.0,0,9,111,0,0,Meesho,0,0
w_0122,CHN-06,Chennai,81,7.2,4,3524.0,249.0,1,13,121,0,0,Flipkart,0,1
w_0123,MUM-07,Mumbai,94,7.0,5,3097.0,236.0,1,30,182,1,1,Amazon,0,1
w_0124,VAD-04,Vadodara,27,6.9,5,3750.0,431.0,0,20,144,1,1,Amazon,0,0
w_0125,MUM-07,Mumbai,1,9.7,6,3958.0,887.0,1,34,149,1,1,Amazon,0,1
w_0126,MUM-07,Mumbai,3,8.8,4,3901.0,1035.0,0,34,180,0,1,Amazon,0,0
w_0127,BLR-03,Bangalore,53,9.1,6,2914.0,463.0,0,8,101,1,0,Amazon,0,0
w_0128,CHN-06,Chennai,53,7.6,5,3715.0,701.0,0,14,133,1,0,Amazon,0,0
w_0129,VAD-04,Vadodara,87,11.5,3,4241.0,431.0,0,17,126,1,1,Meesho,0,0
w_0130,DEL-12,Delhi,24,7.4,6,3309.0,820.0,1,25,263,0,0,Amazon,0,1
w_0131,MUM-07,Mumbai,59,9.8,3,3634.0,989.0,2,35,150,0,1,Amazon,0,1
w_0132,MUM-07,Mumbai,52,3.8,5,2593.0,444.0,0,32,180,1,1,Amazon,1,0
w_0133,VAD-04,Vadodara,26,7.9,5,3728.0,336.0,2,16,125,1,1,Flipkart,0,1
w_0134,MUM-07,Mumbai,45,7.1,4,2986.0,153.0,0,31,154,0,1,Amazon,0,0
w_0135,CHN-06,Chennai,4,8.2,6,3333.0,614.0,0,15,98,1,0,Amazon,0,0
w_0136,MUM-07,Mumbai,30,4.8,4,3488.0,608.0,1,31,165,0,1,Amazon,0,1
w_0137,DEL-12,Delhi,92,11.3,5,3657.0,1029.0,0,25,264,1,0,Amazon,0,0
w_0138,BLR-03,Bangalore,5,8.3,5,3168.0,187.0,1,5,116,1,0,Meesho,0,2
w_0139,MUM-07,Mumbai,40,12.0,5,4825.0,421.0,0,30,181,0,1,Amazon,0,0
w_0140,CHN-06,Chennai,11,9.6,6,2726.0,271.0,0,10,100,0,0,Amazon,0,0
w_0141,CHN-06,Chennai,50,8.5,4,2224.0,415.0,0,9,128,0,0,Flipkart,0,0
w_0142,MUM-07,Mumbai,35,8.0,6,2484.0,301.0,3,32,171,0,1,Amazon,0,2
w_0143,DEL-12,Delhi,78,9.3,5,2681.0,272.0,1,25,241,0,0,Meesho,0,1
w_0144,MUM-07,Mumbai,37,9.5,5,3502.0,625.0,1,35,167,1,1,Meesho,0,1
w_0145,MUM-07,Mumbai,15,9.0,4,4939.0,297.0,0,35,157,1,1,Flipkart,0,0
w_0146,VAD-04,Vadodara,1,12.0,6,3803.0,1117.0,1,20,148,0,1,Meesho,0,1
w_0147,DEL-12,Delhi,47,10.3,5,3286.0,872.0,3,24,244,0,0,Amazon,0,2
w_0148,DEL-12,Delhi,15,6.7,5,2935.0,346.0,0,24,237,0,0,Amazon,0,0
w_0149,VAD-04,Vadodara,33,6.4,5,4427.0,593.0,2,20,145,1,1,Meesho,0,1
w_0150,MUM-07,Mumbai,3,8.9,6,2616.0,292.0,1,34,185,0,1,Flipkart,0,1
w_0151,CHN-06,Chennai,66,8.4,6,2224.0,627.0,0,9,100,0,0,Flipkart,0,0
w_0152,MUM-07,Mumbai,17,8.6,3,2785.0,594.0,0,30,154,0,1,Amazon,0,0
w_0153,VAD-04,Vadodara,75,4.8,5,3062.0,552.0,1,18,122,1,1,Flipkart,0,1
w_0154,DEL-12,Delhi,36,9.8,5,3959.0,701.0,5,21,237,1,0,Amazon,0,2
w_0155,CHN-06,Chennai,3,7.3,6,4136.0,378.0,0,14,111,1,0,Amazon,0,0
w_0156,MUM-07,Mumbai,25,12.0,6,3912.0,1137.0,2,29,177,0,1,Flipkart,0,1
w_0157,DEL-12,Delhi,72,8.5,4,1707.0,476.0,2,25,226,0,0,Amazon,0,1
w_0158,BLR-03,Bangalore,48,7.8,6,3498.0,1008.0,1,8,79,0,0,Flipkart,0,1
w_0159,MUM-07,Mumbai,16,9.0,4,3529.0,433.0,1,32,183,1,1,Amazon,0,1
w_0160,BLR-03,Bangalore,93,6.7,6,3815.0,645.0,0,8,118,0,0,Flipkart,0,0
w_0161,MUM-07,Mumbai,9,11.4,4,2276.0,409.0,1,29,175,0,1,Meesho,0,1
w_0162,DEL-12,Delhi,14,12.0,5,3153.0,544.0,1,21,228,0,0,Flipkart,0,1
w_0163,DEL-12,Delhi,41,9.5,6,3131.0,172.0,1,24,258,0,0,Amazon,0,1
w_0164,DEL-12,Delhi,7,9.3,3,4207.0,1087.0,0,22,243,0,0,Flipkart,0,0
w_0165,VAD-04,Vadodara,21,6.8,5,3513.0,831.0,0,15,158,1,1,Meesho,0,0
w_0166,BLR-03,Bangalore,39,8.0,4,2938.0,496.0,0,11,86,1,0,Amazon,0,0
w_0167,MUM-07,Mumbai,30,9.1,4,2025.0,237.0,1,30,168,1,1,Flipkart,0,1
w_0168,VAD-04,Vadodara,5,5.7,5,2401.0,501.0,5,21,134,0,1,Amazon,0,2
w_0169,VAD-04,Vadodara,29,11.2,3,3945.0,334.0,1,15,151,0,1,Flipkart,0,1
w_0170,DEL-12,Delhi,25,4.9,5,1710.0,512.0,0,19,243,1,0,Amazon,0,0
w_0171,DEL-12,Delhi,24,3.9,5,1918.0,156.0,1,19,265,0,0,Amazon,1,1
w_0172,VAD-04,Vadodara,52,11.5,5,4100.0,265.0,1,18,131,0,1,Amazon,0,0
w_0173,DEL-12,Delhi,6,9.6,5,4000.0,812.0,2,19,238,0,0,Amazon,0,1
w_0174,MUM-07,Mumbai,41,6.1,6,2398.0,398.0,2,30,184,0,1,Meesho,0,1
w_0175,DEL-12,Delhi,42,8.3,5,3264.0,750.0,1,22,244,0,0,Flipkart,0,1
w_0176,VAD-04,Vadodara,38,8.5,6,4646.0,381.0,1,21,125,1,1,Flipkart,0,2
w_0177,DEL-12,Delhi,21,8.2,5,3520.0,496.0,1,20,262,0,0,Flipkart,0,1
w_0178,MUM-07,Mumbai,15,5.9,5,3771.0,661.0,2,33,183,0,1,Flipkart,0,1
w_0179,CHN-06,Chennai,15,8.6,4,4678.0,757.0,1,15,102,0,0,Amazon,0,1
w_0180,VAD-04,Vadodara,39,10.3,4,4945.0,968.0,0,15,153,0,1,Amazon,0,0
w_0181,MUM-07,Mumbai,20,4.5,6,3502.0,264.0,4,34,150,0,1,Amazon,0,2
w_0182,VAD-04,Vadodara,12,7.0,3,4632.0,815.0,0,20,135,0,1,Amazon,0,0
w_0183,CHN-06,Chennai,29,5.7,5,4192.0,791.0,0,12,103,0,0,Amazon,0,0
w_0184,CHN-06,Chennai,54,6.5,3,3104.0,839.0,0,14,111,0,0,Flipkart,0,0
w_0185,MUM-07,Mumbai,1,8.8,3,3791.0,731.0,1,35,156,1,1,Meesho,0,1
w_0186,DEL-12,Delhi,104,5.4,4,2049.0,383.0,3,22,251,1,0,Meesho,0,1
w_0187,BLR-03,Bangalore,3,11.5,5,3948.0,999.0,0,11,103,0,0,Amazon,0,0
w_0188,DEL-12,Delhi,21,8.1,4,3057.0,203.0,1,19,236,1,0,Amazon,0,1
w_0189,DEL-12,Delhi,24,7.2,6,2838.0,602.0,1,21,232,0,0,Amazon,0,1
w_0190,MUM-07,Mumbai,4,4.2,6,4303.0,1088.0,1,31,154,0,1,Flipkart,0,1
w_0191,VAD-04,Vadodara,74,8.3,3,2662.0,196.0,0,16,137,0,1,Amazon,0,0
w_0192,CHN-06,Chennai,19,8.1,5,3778.0,955.0,1,9,123,1,0,Amazon,0,0
w_0193,CHN-06,Chennai,4,5.4,6,4226.0,1043.0,1,14,105,1,0,Flipkart,0,1
w_0194,DEL-12,Delhi,37,6.0,6,3115.0,156.0,1,19,265,1,0,Meesho,0,1
w_0195,MUM-07,Mumbai,32,11.4,6,3622.0,404.0,0,33,173,0,1,Amazon,0,1
w_0196,MUM-07,Mumbai,98,7.2,6,2872.0,252.0,2,31,164,0,1,Amazon,0,2
w_0197,BLR-03,Bangalore,17,8.1,4,2740.0,487.0,2,10,94,0,0,Amazon,0,1
w_0198,CHN-06,Chennai,9,9.1,5,3299.0,919.0,1,15,116,0,0,Flipkart,0,1
w_0199,CHN-06,Chennai,1,7.7,6,5500.0,1104.0,0,15,114,0,0,Flipkart,0,0
w_0200,BLR-03,Bangalore,39,10.7,5,4925.0,987.0,0,7,116,1,0,Flipkart,0,0
w_0201,DEL-12,Delhi,28,6.5,5,3061.0,247.0,0,19,225,0,0,Flipkart,0,1
w_0202,VAD-04,Vadodara,104,7.1,5,3380.0,732.0,0,20,150,0,1,Flipkart,0,0
w_0203,VAD-04,Vadodara,37,7.2,5,3156.0,859.0,0,16,135,0,1,Amazon,0,0
w_0204,CHN-06,Chennai,81,6.4,5,2442.0,384.0,0,15,114,0,0,Amazon,0,0
w_0205,DEL-12,Delhi,104,6.2,6,2890.0,637.0,0,19,237,0,0,Flipkart,0,0
w_0206,VAD-04,Vadodara,16,8.1,5,3099.0,383.0,4,16,150,0,1,Amazon,0,2
w_0207,VAD-04,Vadodara,4,10.7,3,1506.0,177.0,3,20,155,1,1,Flipkart,0,2
w_0208,DEL-12,Delhi,6,5.6,5,3246.0,313.0,0,21,251,0,0,Amazon,0,0
w_0209,VAD-04,Vadodara,11,7.6,5,4063.0,448.0,0,19,154,1,1,Meesho,0,0
w_0210,VAD-04,Vadodara,21,9.5,6,5037.0,683.0,2,18,150,0,1,Amazon,0,1
w_0211,DEL-12,Delhi,3,12.0,6,3914.0,750.0,0,21,261,0,0,Flipkart,0,0
w_0212,DEL-12,Delhi,10,9.9,3,2771.0,679.0,0,20,263,1,0,Amazon,0,0
w_0213,DEL-12,Delhi,11,7.6,5,2698.0,330.0,2,19,243,1,0,Amazon,0,1
w_0214,MUM-07,Mumbai,1,6.9,4,3428.0,315.0,4,35,168,0,1,Meesho,0,2
w_0215,BLR-03,Bangalore,13,10.3,3,3527.0,573.0,1,10,91,0,0,Amazon,0,1
w_0216,MUM-07,Mumbai,3,9.8,4,3399.0,841.0,2,31,181,0,1,Amazon,0,1
w_0217,MUM-07,Mumbai,16,8.0,5,4426.0,652.0,1,35,149,0,1,Amazon,0,1
w_0218,BLR-03,Bangalore,6,7.6,6,3843.0,1070.0,1,11,101,1,0,Amazon,0,1
w_0219,DEL-12,Delhi,51,12.0,5,3881.0,435.0,0,23,258,0,0,Amazon,0,0
w_0220,BLR-03,Bangalore,2,11.7,5,3765.0,902.0,1,10,108,0,0,Flipkart,0,1
w_0221,DEL-12,Delhi,60,8.8,6,2948.0,492.0,1,20,254,0,0,Amazon,0,1
w_0222,DEL-12,Delhi,26,8.4,5,2181.0,167.0,1,24,233,1,0,Amazon,0,1
w_0223,VAD-04,Vadodara,18,5.7,3,3394.0,408.0,0,20,148,0,1,Amazon,0,0
w_0224,MUM-07,Mumbai,23,8.1,6,2975.0,787.0,0,29,172,1,1,Amazon,0,1
w_0225,MUM-07,Mumbai,14,10.4,5,4011.0,206.0,0,32,170,1,1,Flipkart,0,0
w_0226,MUM-07,Mumbai,4,4.1,4,3031.0,725.0,1,35,162,0,1,Meesho,0,1
w_0227,CHN-06,Chennai,43,9.2,6,4428.0,1120.0,4,10,133,0,0,Meesho,0,2
w_0228,MUM-07,Mumbai,78,9.4,4,4015.0,321.0,0,29,152,0,1,Meesho,0,0
w_0229,CHN-06,Chennai,89,9.4,6,4832.0,1404.0,3,15,115,1,0,Flipkart,0,2
w_0230,DEL-12,Delhi,33,6.7,5,4758.0,1275.0,0,22,244,1,0,Amazon,0,0
w_0231,BLR-03,Bangalore,15,7.4,5,4088.0,387.0,0,5,109,0,0,Flipkart,0,0
w_0232,DEL-12,Delhi,19,6.8,6,2583.0,285.0,0,22,253,1,0,Amazon,0,0
w_0233,DEL-12,Delhi,32,12.0,5,3146.0,801.0,3,22,242,0,0,Flipkart,0,1
w_0234,DEL-12,Delhi,51,11.1,4,2937.0,548.0,1,22,231,0,0,Flipkart,0,1
w_0235,VAD-04,Vadodara,14,8.7,3,3588.0,1007.0,0,15,122,0,1,Meesho,0,0
w_0236,BLR-03,Bangalore,74,8.1,5,3861.0,1138.0,1,10,105,1,0,Amazon,0,1
w_0237,MUM-07,Mumbai,11,8.0,5,3248.0,441.0,0,32,177,1,1,Amazon,0,0
w_0238,VAD-04,Vadodara,22,7.4,5,3977.0,295.0,3,20,125,1,1,Flipkart,0,2
w_0239,DEL-12,Delhi,97,4.2,6,2973.0,672.0,1,25,244,0,0,Amazon,0,1
w_0240,VAD-04,Vadodara,83,8.1,5,1662.0,467.0,2,21,157,0,1,Meesho,0,1
w_0241,CHN-06,Chennai,35,12.0,5,3675.0,335.0,3,10,128,0,0,Amazon,0,1
w_0242,CHN-06,Chennai,11,8.6,6,3277.0,971.0,0,13,135,0,0,Flipkart,0,0
w_0243,CHN-06,Chennai,7,6.8,4,3600.0,356.0,0,14,125,0,0,Flipkart,0,0
w_0244,MUM-07,Mumbai,2,8.5,5,4124.0,295.0,4,35,147,1,1,Amazon,0,2
w_0245,VAD-04,Vadodara,36,7.6,5,3315.0,577.0,1,19,127,0,1,Amazon,0,0
w_0246,CHN-06,Chennai,21,6.0,4,2524.0,635.0,0,12,120,0,0,Meesho,0,0
w_0247,MUM-07,Mumbai,25,5.8,6,3027.0,420.0,1,33,151,0,1,Amazon,0,1
w_0248,CHN-06,Chennai,19,8.1,5,4633.0,616.0,1,13,133,1,0,Amazon,0,1
w_0249,CHN-06,Chennai,19,5.1,5,3851.0,382.0,1,12,98,0,0,Amazon,0,1
w_0250,CHN-06,Chennai,25,8.0,3,4431.0,1314.0,0,14,103,1,0,Flipkart,0,0
w_0251,MUM-07,Mumbai,73,7.8,5,3114.0,422.0,0,32,168,1,1,Amazon,0,0
w_0252,MUM-07,Mumbai,1,9.4,5,4088.0,886.0,1,30,181,0,1,Flipkart,0,1
w_0253,CHN-06,Chennai,48,7.7,5,4274.0,355.0,0,11,133,0,0,Amazon,0,0
w_0254,MUM-07,Mumbai,14,5.9,3,2271.0,369.0,0,29,168,1,1,Meesho,0,0
w_0255,VAD-04,Vadodara,40,8.3,6,3736.0,930.0,1,18,159,0,1,Flipkart,0,1
w_0256,DEL-12,Delhi,89,10.1,4,3658.0,1070.0,1,22,253,1,0,Amazon,0,1
w_0257,CHN-06,Chennai,10,6.9,6,2561.0,242.0,0,13,134,0,0,Meesho,0,0
w_0258,DEL-12,Delhi,2,11.2,3,2568.0,189.0,2,20,256,0,0,Amazon,0,1
w_0259,DEL-12,Delhi,7,8.2,5,5133.0,1524.0,2,25,249,0,0,Meesho,0,1
